dest_ip,dest_port,country_code,proxy_type
47.91.89.3,11,DE,http
8.211.49.86,8443,DE,http
8.211.49.86,2000,DE,http
8.211.49.86,8008,DE,http
8.211.49.86,80,DE,http
8.211.42.167,104,DE,http
47.91.89.3,176,DE,http
8.211.51.115,1036,DE,http
8.209.96.245,89,DE,http
8.211.42.167,1081,DE,http
8.209.96.245,80,DE,http
8.209.96.245,5060,DE,http
202.61.203.162,3128,DE,http
138.199.233.152,80,DE,http
8.211.42.167,8005,DE,http
8.211.42.167,8083,DE,http
8.211.51.115,84,DE,http
141.147.9.254,80,DE,http
8.209.96.245,45,DE,http
8.211.49.86,9098,DE,http
161.35.70.249,80,DE,http
47.252.18.37,3129,US,http
47.90.167.27,5060,US,http
47.251.73.54,8834,US,http
47.252.18.37,443,US,http
47.90.149.238,9098,US,http
47.90.149.238,5060,US,http
47.90.149.238,202,US,http
198.74.51.79,8888,US,http
47.252.11.233,84,US,http
47.89.159.212,1080,US,http
47.251.74.38,161,US,http
47.251.74.38,1081,US,http
47.89.159.212,993,US,http
47.90.167.27,443,US,http
47.89.159.212,8123,US,http
47.90.167.27,11,US,http
4.156.78.45,80,US,http
47.89.159.212,9080,US,http
47.254.36.213,3128,US,http
47.254.36.213,8443,US,http
198.23.143.74,80,US,http
23.237.210.82,80,US,http
51.81.245.3,17981,US,http
47.89.159.212,11,US,http
47.254.36.213,6379,US,http
162.214.165.203,80,US,http
198.23.143.74,80,US,http
81.169.213.169,8888,DE,http
23.247.136.254,80,US,http
198.74.51.79,8888,US,http
192.73.244.36,80,US,http
91.99.78.151,80,DE,http
51.81.245.3,17981,US,http
138.68.60.8,80,US,http
23.247.136.248,80,US,http
85.215.64.49,80,DE,http
38.147.98.190,8080,US,http
5.78.129.53,80,US,http
78.47.127.91,80,DE,http
44.226.40.47,90,US,http
198.49.68.80,80,US,http
138.199.233.152,80,DE,http
147.75.88.115,9443,US,http
78.46.84.169,8080,DE,http
47.251.43.115,33333,US,http
47.90.205.231,33333,US,http
174.138.54.65,80,US,http
172.104.202.91,80,DE,http
85.214.107.177,80,DE,http
4.149.210.210,3128,US,http
38.180.82.210,8080,US,http
